iter	Passed	Remaining
906	2152	220
907	2154	218
908	2156	215
909	2158	213
910	2160	211
911	2163	208
912	2165	206
913	2167	203
914	2169	201
915	2171	199
916	2173	196
917	2175	194
918	2177	191
919	2179	189
920	2181	187
921	2183	184
922	2184	182
923	2186	179
924	2188	177
925	2191	175
926	2193	172
927	2195	170
928	2197	167
929	2199	165
930	2201	163
931	2203	160
932	2205	158
933	2207	156
934	2210	153
935	2213	151
936	2215	148
937	2216	146
938	2218	144
939	2220	141
940	2222	139
941	2224	136
942	2226	134
943	2229	132
944	2231	129
945	2233	127
946	2235	125
947	2237	122
948	2239	120
949	2242	118
950	2244	115
951	2245	113
952	2247	110
953	2249	108
954	2251	106
955	2253	103
956	2255	101
957	2257	98
958	2259	96
959	2261	94
960	2264	91
961	2265	89
962	2268	87
963	2270	84
964	2272	82
965	2274	80
966	2276	77
967	2278	75
968	2279	72
969	2281	70
970	2283	68
971	2285	65
972	2287	63
973	2289	61
974	2291	58
975	2293	56
976	2295	54
977	2297	51
978	2299	49
979	2301	46
980	2303	44
981	2305	42
982	2307	39
983	2309	37
984	2311	35
985	2313	32
986	2315	30
987	2317	28
988	2319	25
989	2321	23
990	2323	21
991	2325	18
992	2327	16
993	2329	14
994	2331	11
995	2334	9
996	2336	7
997	2338	4
998	2340	2
999	2342	0
